,id_sentence,text,id_tale,Y_1,Y_2,Y_3,Y_vote,target
16,17,ผู้โดยสารนับร้อยเคลื่อนตัวออกจากรถไฟไปสู่ชานชาลา,1,-1,0,0,0,0
17,18,พวกเขาต่างถือกระเป๋าเดินทางและร่มอยู่ในมือ,1,0,0,0,0,1
18,19,หนูน้อยหลบหลีกขาของคนเหล่านั้นอย่างรวดเร็ว แล้วกระโดดขึ้นรถไฟได้ทันเวลาพอดี,1,1,1,0,0,0
19,20,ประตูปิดตามหลังมันและรถไฟก็เคลื่อนตัวออกจากสถานี,1,0,0,0,0,1
20,21,เจ้าหนูไต่ขึ้นไปยังที่ว่างข้างหน้าต่าง มันมองภาพเมืองอันวุ่นวายที่วิ่งผ่านไป บ้านและร้านรวง ตรอกซอยและถนน ผู้คนและเสาไฟ รถประจำทางและรถยนต์ขับผ่านไปอย่างรวดเร็ว,1,-1,0,-1,-1,0
21,22,ภาพเหล่านั้นค่อยๆ เปิดทางให้เนินเขาสีเขียวสูงๆ ต่ำๆ ลดหลั่นกัน และทุ่งดอกไม้กว้างสุดตาเผยออกมา กระทั่งรถไฟมาหยุดที่สถานีชนบทที่เงียบเหงาแห่งหนึ่ง,1,-1,0,-1,-1,0
22,23,เจ้าหนูจึงกระโดดลง มันกระโดดลงไปตามขั้นบันไดที่สถานีแล้วมายืนอยู่บนถนนนอกเมืองสายเล็กๆ ที่แสนเงียบเหงา,1,-1,-1,-1,-1,1
23,24,ผึ้งส่งเสียงหึ่งๆ เบาๆ ในอากาศ ท้องฟ้าเป็นสีฟ้าเข้มปราศจากเสียงใดๆ,1,0,0,0,0,1
24,25,ไม่มีภาพผู้คนที่เร่งรีบหรือรถประจำทางเสียงดังให้ได้เห็นเลย,1,1,0,0,0,0
25,26,หนูน้อยดึงบัตรเชิญออกจากกระเป๋าเพื่อจะดูเส้นทางที่ญาติของมันส่งมาให้,1,0,0,0,0,1
26,27,“จากสถานีให้ไปตามถนนสายเล็กๆ ลงเนิน แล้วเลี้ยวซ้ายไปทางทุ่งหญ้า”,1,0,0,0,0,1
27,28,มันอ่าน “ตรงไปเรื่อยๆ จนกว่าจะได้ยินเสียงแม่น้ำ ,1,0,0,0,0,1
28,29,แล้วค่อยเลี้ยวขวาที่เดซีดอกที่สาม แล้วเธอจะพบทางเข้าบ้านอยู่ใต้ดอกป๊อปปี้”,1,0,0,0,0,1
29,30,ไม่นานนัก หนูบ้านก็มาเคาะประตูไม้บานเล็กๆ ที่อยู่ในร่มเงาของดอกป๊อปปี้ที่กำลังไหวไปมา,1,0,0,0,0,1
30,31,ญาติของมันเปิดประตูออก ร้องจี๊ดๆ ด้วยความดีใจ “ดีใจจังที่ได้เจอเธอ!”,1,1,1,1,1,1
31,32,หนูนาร้อง “เข้ามาสิ!”,1,0,0,0,0,1
32,33,หนูบ้านก้มหัวลอดเข้าไปข้างใน เช่นเดียวกับบ้านหนูในชนบทหลังอื่นๆ,1,0,0,0,0,1
33,34,ในบ้านไม่มีอย่างอื่นนอกจากโพรงเล็กๆ โพรงหนึ่งในพื้นดิน และผนังว่างเปล่าและพื้นโคลน,1,-1,-1,0,0,0
34,35,แต่สำหรับหนูบ้านผู้คุ้นเคยกับบ้านหลังใหญ่โต ที่ผนังมีกระดาษปิดตกแต่งและพื้นบ้านที่เงาวับ ที่นี่ก็น่าผิดหวังมากทีเดียว,1,-1,-1,-1,-1,1
35,36,แต่หนูบ้านไม่อยากเสียมารยาท มันจึงแค่พูดออกมาว่า “ทำไมเราไม่ออกไปกินข้างนอกกันล่ะ วันนี้อากาศดีมากเลยนะ!”,1,1,1,1,1,1
36,37,“เป็นความคิดที่ดี” หนูนาพูด,1,1,1,1,1,1
37,38,แล้วมันก็วิ่งพรวดพราดไปที่ห้องเก็บของเพื่อจะเอาอาหารกลางวัน,1,0,0,0,0,1
38,39,ต่อมามันก็กระวีกระวาดออกมาข้างนอกหอบเมล็ดดอกทานตะวันมาเต็มอ้อมแขน,1,-1,0,0,0,0
39,40,“ตามสบายเลยนะ” หนูนาพูด,1,1,1,1,1,1
40,41,หนูบ้านแทะเมล็ดพืช “นี่ก็เป็นอาหารธรรมดาๆ” มันคิด,1,0,-1,0,0,0
41,42,“บางทีจานต่อไปอาจจะน่าตื่นเต้นกว่านี้ก็ได้”,1,1,1,1,1,1
42,43,หนูนาสังเกตเห็นว่าญาติของมันกินไปเพียงนิดเดียวจึงพูดขึ้น “นี่จ้ะ” แล้วก็ยื่นเมล็ดดอกทานตะวันให้หนูบ้านเพิ่มอีก “กินให้เต็มที่เลยนะ”,1,1,0,0,0,0
43,44,“ฉันไม่อยากอิ่มตั้งแต่อาหารเรียกน้ำย่อยน่ะ” หนูบ้านยิ้ม,1,1,-1,0,0,0
44,45,“ฉันอยากเก็บท้องไว้เผื่ออาหารหลัก”,1,0,0,0,0,1
45,46,“อาหารหลักงั้นหรือ” หนูนาพูดอย่างแปลกใจ,1,-1,0,1,1,0
46,47,“ทั้งหมดก็มีอยู่แค่นี้แหละจ้ะ”,1,0,0,1,1,0
47,48,หนูบ้านประหลาดใจ “แค่นี้เองหรือ” มันร้อง,1,-1,0,1,1,0
48,49,“แล้วปกติเธอกินอะไรล่ะ”,1,0,0,0,0,1
49,50,“ก็กินเมล็ดพืชแบบนี้ไง” หนูนาตอบ,1,0,0,0,0,1
50,51,“บางทีก็จะมีสตรอเบอรี่หนึ่งหรือสองลูก แต่ต้องเป็นหน้าของมันนะ...”,1,0,1,0,0,0
51,52,หนูนาหยุดพูดเมื่อเห็นสีหน้าตกใจของญาติ,1,-1,-1,-1,-1,1
52,53,“ไม่มีพายหรือ” หนูบ้านถาม “ไม่มีแซนด์วิช หรือมัฟฟิน หรือชีสบ้างหรือ”,1,-1,-1,0,0,0
53,54,หนูนาส่ายหัว,1,-1,0,0,0,0
54,55,“แล้วเค้กช็อกโกแลต ทาร์ตแยม หรือว่าไอศกรีมล่ะ”,1,0,1,0,0,0
55,56,“ฉันยังไม่เคยชิมด้วยซ้ำ” หนูนาตอบ,1,-1,0,0,0,0
56,57,“โถ ญาติที่รักของฉัน” หนูบ้านพูด,1,-1,1,1,1,0
57,58,“ชีวิตเธอยังไม่คุ้มค่า ถ้ายังไม่เคยได้ลองไอศกรีม”,1,-1,0,0,0,0
58,59,หนูบ้านลุกขึ้นยืน แล้วดึงหนูนาให้ลุกตาม,1,0,0,0,0,1
59,60,“เราจะต้องออกจากที่นี่เดี๋ยวนี้” มันพูดอย่างหนักแน่น,1,1,0,1,1,0
60,61,“เธอไปกินข้าวเย็นที่บ้านฉันเถอะ”,1,0,0,0,0,1
61,62,“แต่ว่าฉันยังไม่เคยออกนอกเขตทุ่งนามาก่อนนี่”,1,-1,0,0,0,0
62,63,หนูนาร้องเมื่อพวกมันวิ่งไปที่สถานี,1,-1,0,0,0,0
63,64,“งั้นก็ได้เวลาที่เธอจะต้องออกจากทุ่งนาแล้วละ” หนูบ้านตอบ,1,0,0,0,0,1
64,65,พวกมันกระโดดขึ้นรถไฟ แล้วปีนป่ายขึ้นไปยังที่นั่งข้างหน้าต่าง,1,0,0,0,0,1
65,66,เมื่อรถไฟค่อยๆ เคลื่อนตัวผ่านชนบท หนูนามองออกไปนอกหน้าต่างอย่างตื่นเต้น,1,1,1,1,1,1
66,67,จมูกของมันแนบกระจก ภาพทุ่งนาเปลี่ยนเป็นบ้านคนและถนน รถประจำทางและรถยนต์,1,0,0,0,0,1
67,68,ต่อมาไม่นานนักพวกมันก็มาถึงเมืองอันแสนวุ่นวาย,1,-1,0,-1,-1,0
68,69,เมื่อหนูทั้งสองก้าวออกจากสถานี หนูนาก็อ้าปากกว้าง,1,1,0,0,0,0
69,70,ตัวมันสั่นด้วยความกลัวเมื่อเห็นรถวิ่งอย่างรวดเร็วผ่านหน้ามัน,1,-1,-1,-1,-1,1
70,71,และตัวสั่นมากขึ้นเมื่อรถประจำทางขนาดยักษ์จอดเสียงเอี๊ยดข้างพวกมัน,1,-1,-1,-1,-1,1
71,72,แต่ดูเหมือนหนูบ้านแทบจะไม่ได้สังเกตเห็นด้วยซ้ำ “เร็วเข้า” มันพูด แล้วมุดหายเข้าไปกับการจราจรอันแสนวุ่นวาย,1,-1,0,-1,-1,0
72,73,กว่าพวกมันจะมาถึงบ้านที่หนูบ้านอาศัย หนูนาก็เกือบจะถูกเหยียบ เฉียดถูกรถทับ และเหน็ดเหนื่อยเป็นที่สุด,1,-1,-1,-1,-1,1
73,74,“ยินดีต้อนรับสู่บ้านอันต่ำต้อยของฉัน” หนูบ้านพูด,1,-1,1,1,1,0
74,75,แล้วหนูทั้งสองก็ลอดตัวผ่านประตูหน้าเข้าไป,1,0,0,0,0,1
75,76,หนูนาร้องอุทาน เมื่อเห็นกระเบื้องเป็นมันเงาอยู่ทั่วไปหมด ผนังห้องมีดอกไม้งดงามแปลกตาคลุมอยู่ และบนเพดานมีโคมระย้าทำจากแก้วเจียระไนส่องแสงเหมือนดวงอาทิตย์ห้อยอยู่,1,1,1,1,1,1
76,77,“เธอหิวหรือยัง” หนูบ้านถาม,1,0,0,0,0,1
77,78,“หิวตาลายเลยละ” หนูนาตอบ,1,-1,-1,0,0,0
78,79,“งั้นพวกเรารออะไรกันอยู่ล่ะ” หนูบ้านหัวเราะ,1,1,0,1,1,0
79,80,หนูนาทั้งสองตัววิ่งผ่านพื้นกระเบื้องไปยังห้องอาหาร และปีนขึ้นไปตามขาโต๊ะอาหารขนาดยักษ์,1,0,0,0,0,1
80,81,“อาหารเย็นตั้งโต๊ะแล้ว” หนูบ้านพูดอย่างโอ้อวด,1,1,0,-1,-1,0
81,82,ปากของหนูนาอ้ากว้าง,1,0,0,0,0,1
82,83,มันไม่เคยเห็นอาหารมากมายขนาดนี้มาก่อนในชีวิต มีชีสกองเป็นภูเขา และบิสกิตชิ้นเล็กๆ เรียงเป็นแถว องุ่นสีม่วงพวงโต และแซนด์วิชที่ชวนให้น้ำลายหกวางเป็นตั้งๆ และที่ปลายโต๊ะยังมีเค้กและของหวานน่าอร่อยมากมายเกินกว่าที่มันเคยฝันไว้วางอยู่,1,1,1,1,1,1
83,84,“ตามสบายเลยนะ” หนูบ้านพูด ขณะชีสอยู่เต็มปาก,1,1,1,1,1,1
84,85,หนูนาวิ่งไปรอบโต๊ะ ทำอะไรไม่ถูก,1,-1,0,0,0,0
85,86,มันดึงองุ่นตรงนี้แล้วแทะแซนด์วิชตรงนั้น ก่อนจะปีนไปทั่วกองชีส ชิมอาหารตรงนี้นิดตรงนี้หน่อยจนเต็มปาก,1,1,0,0,0,0
86,87,“วี้ด!” หนูบ้านร้องเสียงแหลมจากฝั่งตรงข้ามของโต๊ะ ก่อนจะเลื่อนตัวไปตามช้อนลงมาที่ชามใส่ วิปครีม,1,-1,0,0,0,0
87,88,“รอฉันด้วย!” หนูนาตะโกนอย่างร่าเริงแล้วก็วิ่งไปร่วมสนุกด้วย,1,1,0,1,1,0
88,89,หลังจากที่กินเค้กช็อกโกแลตเข้าไป และเลียน้ำตาลบนชิ้นเชอรี่พร้อมกับเคี้ยวทาร์ตสตรอเบอรี่ชิ้นใหญ่อย่างติดหนึบแล้ว หนูนาก็คิดว่าบ้านในเมืองหลังนี้ให้ความรู้สึกเหมือนเป็นบ้านตัวเองเลย,1,1,1,0,0,0
89,90,ขณะที่มันกำลังเช็ดอุ้งเท้าด้วยผ้าเช็ดปากแข็งๆ สีขาว หนูบ้านก็ร้องว่า “มากับฉันสิ ฉันมีอะไรให้เธอประหลาดใจ”,1,1,0,1,1,0
90,91,หนูบ้านใช้อุ้งเท้าลากญาติของมันไปยังถ้วยแก้วเย็นๆ ใบหนึ่งที่มีลูกกลมๆ ขนาดใหญ่สีขาวและสีชมพูอยู่ในนั้น,1,0,0,0,0,1
91,92,“นี่...” หนูบ้านพูดอย่างตื่นเต้น “ไอศกรีมไงล่ะ”,1,1,0,1,1,0
92,93,หนูทั้งสองแกว่งตัวขึ้นไปบนช้อนแล้วกระโดดลงไปในถ้วยใบนั้น,1,0,0,0,0,1
93,94,“มันเย็นเจี๊ยบเลย!” หนูนาอุทาน,1,1,0,0,0,0
94,95,“แน่อยู่แล้ว” หนูบ้านพูด “ลองชิมดูสิ”,1,1,0,0,0,0
95,96,หนูนาจุ่มอุ้งเท้าลงไปในไอศกรีมแล้วเลีย,1,0,0,0,0,1
96,97,มันส่งความรื่นรมย์อันหอมหวานเย็นจนสั่นสะท้านไปถึงสันหลังของเจ้าหนูน้อย “สวรรค์จริงๆ เลย!”,1,1,1,1,1,1
97,98,หนูนาถอนหายใจ พร้อมกับหลับตาอย่างเป็นสุข,1,1,1,1,1,1
98,99,ทันใดนั้น ประตูห้องอาหารก็เปิดออก ชายคนหนึ่งเดินเข้ามาในห้องเพียงชั่วพริบตา,1,0,0,0,0,1
99,100,หนูบ้านก็กระโดดลงไปซ่อนตัวอยู่ด้านหลังถ้วยไอศกรีม แต่หนูนาตรึงแน่นอยู่กับที่ด้วยความกลัว,1,-1,-1,-1,-1,1
100,101,“หาที่ซ่อนสิ!” หนูบ้านกระซิบ “เร็วเข้า ก่อนที่เขาจะเห็นเจ้า”,1,-1,-1,0,0,0
101,102,เมื่อสติกลับมา หนูนาก็มุดตัวลงไประหว่างไอศกรีมสองลูก,1,-1,0,0,0,0
102,103,มันเย็นกว่าอากาศตอนกลางฤดูหนาวเสียอีก แต่หนูนาก็ไม่กล้าขยับมันหมอบตัวสั่น จนกระทั่งได้ยินเสียงประตูปิดลงอีกครั้ง แล้วเห็นใบหน้าของหนูบ้านกำลังมองลงมา,1,-1,-1,-1,-1,1
103,104,“ตะ ตอน นี้ มะ มัน ปะ ปลอด ภัย หระ หรือ ยะ ยัง” หนูนาถาม ฟันของมันสั่นกระทบกันด้วยความหนาว,1,-1,-1,-1,-1,1
104,105,“ปลอดภัยแล้ว” หนูบ้านตอบ พลางดึงตัวญาติของมันออกมาจากถ้วยไอศกรีม แล้วปัดเกล็ดน้ำแข็งออกจากหนวด,1,1,1,1,1,1
105,106,“มากินพายแอปเปิ้ลกัน” หนูบ้านพูดให้หนูนาคลายความหวาดกลัว “พายจะช่วยให้เธออบอุ่นขึ้น”,1,1,1,-1,-1,0
106,107,ขณะที่หนูบ้านและหนูนากำลังมุ่งหน้าไปยังพายแอปเปิ้ลอบที่สุดขอบโต๊ะ ก็มีเสียง “เมี้ยว” ดังขึ้น,1,0,0,0,0,1
107,108,ก่อนที่หนูนาจะทันได้ถามว่าเกิดอะไรขึ้น แมวสีส้มตัวเขื่องท่าทางดุร้ายก็กระโดดขึ้นมาบนโต๊ะตรงหน้าพวกมัน,1,-1,-1,-1,-1,1
108,109,“วิ่งให้เร็วที่สุด” หนูบ้านร้องเสียงแหลม,1,-1,0,0,0,0
109,110,คราวนี้ ไม่จำเป็นต้องบอกหนูนาซ้ำสอง ทั้งคู่หนีอย่างอลหม่านโดยมีแมวจี้ตามหลังมาติดๆ,1,-1,0,-1,-1,0
110,111,พวกมันวิ่งผ่านเค้กช็อกโกแลต ลอดตัวผ่านช่องระหว่างจานสองใบแล้ววิ่งไปรอบๆ ถาดชีส,1,0,0,0,0,1
111,112,แมวขู่อย่างดุร้ายพร้อมกับวิ่งไล่หลังพวกมัน ทำให้แก้วล้มชามปลิวไปทุกทิศทุกทาง,1,-1,-1,-1,-1,1
112,113,หนูทั้งสองวิ่งมาถึงขอบโต๊ะได้ทันเวลาพอดี,1,1,0,0,0,0
113,114,เมื่อหนูนากระโดดลงจากโต๊ะ มันรู้สึกได้ว่ากรงเล็บของแมวพลาดหลังของมันไปอย่างหวุดหวิด,1,-1,-1,0,0,0
114,115,หนูนากระโดดลงบนพรมผืนนุ่ม หัวใจเต้นถี่รัวด้วยความกลัว ด้านหลังของมัน,1,-1,-1,-1,-1,1
115,116,เจ้าแมวกำลังขู่อย่างโกรธแค้นเมื่อมันเซถลาไปที่ขอบโต๊ะ ตะปบผ้าปูโต๊ะไว้เพื่อกันไม่ให้ตัวเองหล่นลงไป,1,-1,-1,-1,-1,1
116,117,“ทางนี้!” หนูบ้านร้อง ชี้ไปทางรู้เล็กๆ ตรงริมผนัง,1,0,0,0,0,1
117,118,มีเสียงร้องอย่างเจ็บปวดและเสียงโครมครามดังสนั่นเมื่อแมวหล่นลงมาที่พื้น,1,-1,-1,-1,-1,1
118,119,มันดึงผ้าปูโต๊ะและจานกับแก้วทั้งหมดตามลงมาด้วย,1,0,0,0,0,1
119,120,หนูน้อยทั้งสองมุดเข้ารูไปโดยไม่หันกลับมามอง แล้วทรุดตัวลงไปกองที่พื้นด้านหลังกำแพง สีข้างของหนูทั้งสองขยับขึ้นลง,1,-1,0,0,0,0
120,121,“นั่นก็แค่ข้อเสียเล็กๆ น้อยๆ ข้อหนึ่งของการใช้ชีวิตแบบคนที่มีระดับน่ะ” หนูบ้านหอบแฮก,1,-1,-1,-1,-1,1
121,122,“ข้อเสียเล็กๆ น้อยๆ งั้นหรือ” หนูนาร้อง,1,-1,-1,-1,-1,1
122,123,“เชิญเธอมีชีวิตแบบมีระดับของเธอต่อไปเถอะ ฉันขอกลับชนบทของฉันดีกว่า”,1,-1,0,0,0,0
123,124,“อะไรนะ” หนูบ้านพูด “แล้วก็อยู่โดยไม่มีอาหารจากสวรรค์พวกนี้น่ะหรือ”,1,-1,0,0,0,0
124,125,“ใช่” หนูนาตอบอย่างหนักแน่น,1,1,0,1,1,0
125,126,“ฉันยินดีจะอยู่อย่างสงบสุข,1,1,1,1,1,1
126,127,มากกว่ามาเสี่ยงชีวิต เพื่อแลกกับไอศกรีมหนึ่งอุ้งมือแบบนี้”,1,-1,-1,-1,-1,1
127,128,“นิทานเรื่องนี้สอนให้รู้ว่า” ไม่มีที่ไหนจะอุ่นใจ เหมือนบ้านเรา,1,1,1,1,1,1
128,129,ลากับหมาป่า,2,0,0,0,0,1
129,130,บ่ายวันหนึ่ง ขณะที่เจ้าลาอ้วนพีตัวหนึ่งกำลังเล็มต้นถั่วหย่อมหนึ่งอย่างมีความสุข,2,1,1,1,1,1
130,131,ก็มีเสียงคำรามต่ำๆ น่ากลัวดังขึ้น,2,-1,-1,-1,-1,1
131,132,มันหมุนตัวกลับมาเห็นหมาป่าท่าทางดุร้ายวิ่งตัดทุ่งหญ้าตรงมาที่มัน,2,-1,0,-1,-1,0
132,133,นัยน์ตาของหมาป่าหรี่เล็กลงและแยกเขี้ยวยิงฟันออกมา ท่าทางของมันหิวโซเอามากๆ,2,-1,-1,0,0,0
133,134,“หนีไม่ทันแล้ว” เจ้าลาคิดอย่างตื่นกลัว “ข้าเสร็จมันแน่!”,2,-1,-1,-1,-1,1
134,135,ตอนนี้หมาป่าเข้ามาใกล้เสียจนเจ้าลามองเห็นนัยน์ตาวาววับและน้ำลายที่หยดจากซี่ฟันของมันอย่างชัดเจน,2,-1,0,0,0,0
135,136,เจ้าลาคิดหาทางเอาตัวรอดอย่างสิ้นหวัง เมื่อหมาป่าอยู่ห่างออกไปเพียงเสี้ยวหนวดของมัน,2,-1,0,-1,-1,0
136,137,เจ้าลาก็ตะโกนออกมาว่า “โอ๊ย! กีบเท้าที่น่าสงสาร” มันร้อง “ไม่น่ามาถูกหนามตำเจ็บๆ อย่างนี้เลย!”,2,-1,-1,-1,-1,1
137,138,“ข้าไม่มัวมาใส่ใจกับเรื่องเล็กๆ น้อยๆ อย่างนี้หรอกน่า” หมาป่าเลียริมฝีปาก “หนามนั่นคงจะอยู่รบกวนเจ้าอีกไม่นานนักหรอก”,2,-1,0,-1,-1,0
138,139,เจ้าลาถอนหายใจ “ถ้าเจ้าวางแผนจะกินข้าละก็” มันพูด “เชิญได้เลย แต่เจ้าน่าจะเอาหนามออกจากกีบเท้าข้าก่อน ไม่งั้นมันจะติดคอตอนเจ้ากลืนได้นะ”,2,-1,0,0,0,0
139,140,“เจ้าช่างมีน้ำใจเสียจริง” หมาป่าพูดพลางชายตามอง “ข้าชอบมื้อกลางวันที่ได้ช่วยเหลือผู้อื่น”,2,1,1,1,1,1
140,141,หมาป่าก้มลงดูกีบเท้าเจ้าลา,2,0,0,0,0,1
141,142,“หนามตำตรงไหนกันล่ะ” มันถาม “ให้ข้าดูหน่อยซิ”,2,0,0,0,0,1
142,143,เจ้าลายกกีบเท้าด้านหลังข้างหนึ่งขึ้น,2,0,0,0,0,1
143,144,“ที่เท้าข้างนี้” มันพูด “เจ้ามองเห็นไหม”,2,0,0,0,0,1
144,145,“ไม่เห็น...” หมาป่าพูด แล้วก้มใกล้เข้าไปอีก,2,0,-1,0,0,0
145,146,“อยู่ตรงกลางเลย” เจ้าลาตอบ ยกเท้าสูงขึ้นอีกนิ “เจ้าเห็นหรือยัง”,2,0,0,0,0,1
146,147,หมาป่าก้มลงใกล้ขึ้นกว่าเดิม กระทั่งจมูกของมันเกือบแตะกีบเท้าเจ้าลา,2,0,0,0,0,1
147,148,“ไม่เห็นมี...” หมาป่าตอบ,2,0,-1,0,0,0
148,149,“จริงหรือ” เจ้าลาพูด “อาจจะเพราะมันไม่มีหนามอยู่จริงๆ น่ะสิ!”,2,0,0,0,0,1
149,150,แล้วเจ้าลาก็ใช้ขาหลังทั้งสองข้างเตะหมาป่าสุดแรงเกิดหมาป่าร้องลั่น ตีลังกาลอยละลิ่วไปหล่นตุ้บตรงกลางทุ่งหญ้า,2,-1,-1,-1,-1,1
150,151,ลาเฝ้ามองอย่างดีใจเมื่อหมาป่าที่กำลังมึนงงพาตัวเองลุกขึ้นแล้วค่อยๆ ย่องเข้าป่าไป,2,1,0,1,1,0
151,152,“ฮ่า ฮ่า” ลาหัวเราะชอบใจ “ข้าชอบหมาป่าที่ชอบช่วยเหลือผู้อื่นจัง!”,2,1,1,1,1,1
152,153,“นิทานเรื่องนี้สอนให้รู้ว่า” คนโง่ย่อมเป็นเหยื่อของคนฉลาด,2,1,-1,-1,-1,0
153,154,ราชสีห์กับหนู,3,0,0,0,0,1
154,155,“ข้าจะต้องเก็บเมล็ดพืชไว้สำหรับฤดูหนาว” หนูน้อยคิดเมื่อมันวิ่งไปตามทาง ,3,0,0,0,0,1
155,156,“แล้วข้าก็ต้องเตือนเด็กๆ ให้ล้างหลังหูให้สะอาดด้วย”,3,0,0,1,1,0
156,157,หนูน้อยมัวแต่วุ่นวายกับความคิดเสียจนไม่ได้สนใจว่ากำลังวิ่งไปไหน กระทั่งมาถึงเนินชันๆลูกหนึ่ง,3,-1,0,-1,-1,0
157,158,มันเริ่มต้นปีนขึ้นไป หญ้าบนเนินเขาเป็นสีทอง และพื้นข้างใต้เท้าของมันก็ให้ความรู้สึกอุ่นอย่างประหลาด,3,1,1,1,1,1
158,159,“ช่างเป็นเนินเขาที่ประหลาดเสียจริง” หนูน้อยพูดกับตัวเอง ระหว่างที่หยุดพักหายใจ,3,-1,0,1,1,0
159,160,มันก็สังเกตเห็นอะไรแปลกๆ เนินเขาทั้งลูกค่อยๆขยับขึ้นลงอยู่ข้างใต้ตัวมัน,3,-1,0,1,1,0
160,161,“ช่วยด้วย” หนูคิด “นี่ดูเหมือนกับว่ามันกำลังหายใจอยู่เลย แต่มีใครเคยได้ยินเรื่องเนินเขาที่หายใจได้บ้างล่ะ”,3,0,-1,0,0,0
161,162,หนูใช้อุ้งเท้าเขี่ยๆพื้น เพื่อดูว่ามันทำมาจากอะไร ทันใดนั้นเนินเขาทั้งลูกก็สั่นอย่างแรง,3,-1,0,-1,-1,0
162,163,หนูน้อยเสียการทรงตัวแล้วล้มกลิ้งไม่เป็นท่า หล่นตุ้บไปที่หญ้าสีเขียวเย็นๆตรงตีนเขา,3,-1,0,0,0,0
163,164,หนูมองดูด้วยดวงตากลมโตเหมือนจานรองแก้ว,3,0,0,0,0,1
164,165,เมื่อเนินเขาสีทองหน้าตาประหลาดค่อยๆสูงขึ้น สูงขึ้นตรงหน้า หนูเข้าใจทันทีว่า นี่มันไม่ใช่เนินเขา,3,0,1,1,1,0
165,166,แต่เป็นราชสีห์ขนาดมหึมาต่างหาก,3,-1,0,0,0,0
166,167,“อี๊ก!” หนูน้อยร้องเสียงแหลมด้วยความหวาดกลัว,3,-1,-1,-1,-1,1
167,168,มันหันหลังกลับแล้ววิ่งหนีเอาตัวรอด,3,-1,0,0,0,0
168,169,ราชสีห์คำรามเสียงแสบแก้วหู ตะปบอุ้งเท้าลงบนหางหนู ตรึงมันไว้อยู่กับที่อย่างมั่นคง,3,-1,-1,-1,-1,1
169,170,“กล้าดียังไงมาปลุกข้า” ราชสีห์คำรามด้วยความโกรธจัด,3,-1,-1,-1,-1,1
170,171,“ข้าขะ ขอโทษจะ จะ จริงๆ” หนูพูดตะกุกตะกัก หนวดสั่นระริกไปด้วยความกลัว “ข้าคิดว่าท่านเป็นเนินเขาเสียอีก”,3,-1,-1,-1,-1,1
171,172,“เนินเขางั้นรึ” ราชสีห์แยกเขี้ยวคำรามอวดฟันซี่ใหญ่เงาวับสองแถว ,3,-1,0,-1,-1,0
172,173,“งั้นเนินเขาลูกนี้หิวแล้ว ถึงเวลากินอาหารสักคำแล้วละ” ราชสีห์อ้าปากกว้าง น่ากลัวยิ่งนัก,3,-1,-1,-1,-1,1
173,174,“ช้าก่อน!” หนูร้องเสียงแหลม “ได้โปรดเถอะ! ถ้าท่านปล่อยข้าไป ข้าสัญญาว่าจะตอบแทนบุญคุณท่าน”,3,-1,0,0,0,0
174,175,ราชสีห์ชะงักแล้วก้มลงมองสัตว์ตัวน้อย “อย่างเจ้าน่ะรึ”,3,-1,0,0,0,0
175,176,มันพูดอย่างไม่เชื่อ “ตัวเล็กๆ อย่างเจ้าจะทำประโยชน์อะไรให้ข้าได้”,3,-1,0,0,0,0
