,id_sentence,text,id_tale,Y_1,Y_2,Y_3,target,consensus,processed
13,14,เช้าตรู่วันรุ่งขึ้น หนูน้อยลอดตัวออกจากประตูบ้านในเมืองหลังที่มันอาศัยอยู่,1,0,0,0,0,1,"['เช้าตรู่', 'วันรุ่งขึ้น', 'หนู', 'น้อย', 'ลอด', 'ตัว', 'ออกจาก', 'ประตู', 'บ้าน', 'ใน', 'เมือง', 'หลัง', 'ที่', 'มัน', 'อาศัย', 'อยู่']"
14,15,แล้วออกเดินทางไปเยี่ยมญาติของมันที่ต่างจังหวัด,1,0,0,0,0,1,"['แล้ว', 'ออกเดินทาง', 'ไป', 'เยี่ยม', 'ญาติ', 'ของ', 'มัน', 'ที่', 'ต่างจังหวัด']"
15,16,หนูน้อยวิ่งไปตามถนนที่มีแต่ความจอแจ มันแทรกตัวผ่านเท้าของผู้คนอย่างเร่งรีบ จนมาถึงสถานีรถไฟ,1,-1,0,0,0,0,"['หนู', 'น้อย', 'วิ่ง', 'ไป', 'ตาม', 'ถนน', 'ที่', 'มี', 'แต่', 'ความ', 'จอแจ', 'มัน', 'แทรกตัว', 'ผ่าน', 'เท้า', 'ของ', 'ผู้คน', 'อย่าง', 'เร่งรีบ', 'จน', 'มาถึง', 'สถานีรถไฟ']"
16,17,ผู้โดยสารนับร้อยเคลื่อนตัวออกจากรถไฟไปสู่ชานชาลา,1,-1,0,0,0,0,"['ผู้โดยสาร', 'นับ', 'ร้อย', 'เคลื่อนตัว', 'ออกจาก', 'รถไฟ', 'ไป', 'สู่', 'ชานชาลา']"
17,18,พวกเขาต่างถือกระเป๋าเดินทางและร่มอยู่ในมือ,1,0,0,0,0,1,"['พวกเขา', 'ต่าง', 'ถือ', 'กระเป๋าเดินทาง', 'และ', 'ร่ม', 'อยู่', 'ใน', 'มือ']"
18,19,หนูน้อยหลบหลีกขาของคนเหล่านั้นอย่างรวดเร็ว แล้วกระโดดขึ้นรถไฟได้ทันเวลาพอดี,1,1,1,0,0,0,"['หนู', 'น้อย', 'หลบหลีก', 'ขา', 'ของ', 'คน', 'เหล่านั้น', 'อย่าง', 'รวดเร็ว', 'แล้ว', 'กระโดด', 'ขึ้น', 'รถไฟ', 'ได้', 'ทันเวลา', 'พอดี']"
19,20,ประตูปิดตามหลังมันและรถไฟก็เคลื่อนตัวออกจากสถานี,1,0,0,0,0,1,"['ประตู', 'ปิด', 'ตามหลัง', 'มัน', 'และ', 'รถไฟ', 'ก็', 'เคลื่อนตัว', 'ออกจาก', 'สถานี']"
20,21,เจ้าหนูไต่ขึ้นไปยังที่ว่างข้างหน้าต่าง มันมองภาพเมืองอันวุ่นวายที่วิ่งผ่านไป บ้านและร้านรวง ตรอกซอยและถนน ผู้คนและเสาไฟ รถประจำทางและรถยนต์ขับผ่านไปอย่างรวดเร็ว,1,-1,0,-1,-1,0,"['เจ้า', 'หนู', 'ไต่', 'ขึ้นไป', 'ยัง', 'ที่ว่าง', 'ข้าง', 'หน้าต่าง', 'มัน', 'มอง', 'ภาพ', 'เมือง', 'อัน', 'วุ่นวาย', 'ที่', 'วิ่ง', 'ผ่าน', 'ไป', 'บ้าน', 'และ', 'ร้านรวง', 'ตรอก', 'ซอย', 'และ', 'ถนน', 'ผู้คน', 'และ', 'เสา', 'ไฟ', 'รถประจำทาง', 'และ', 'รถยนต์', 'ขับ', 'ผ่าน', 'ไป', 'อย่าง', 'รวดเร็ว']"
21,22,ภาพเหล่านั้นค่อยๆ เปิดทางให้เนินเขาสีเขียวสูงๆ ต่ำๆ ลดหลั่นกัน และทุ่งดอกไม้กว้างสุดตาเผยออกมา กระทั่งรถไฟมาหยุดที่สถานีชนบทที่เงียบเหงาแห่งหนึ่ง,1,-1,0,-1,-1,0,"['ภาพ', 'เหล่านั้น', 'ค่อยๆ', 'เปิดทาง', 'ให้', 'เนินเขา', 'สี', 'เขียว', 'สูง', 'ต่ำ', 'ลดหลั่น', 'กัน', 'และ', 'ทุ่ง', 'ดอกไม้', 'กว้าง', 'สุด', 'ตา', 'เผย', 'ออกมา', 'กระทั่ง', 'รถไฟ', 'มา', 'หยุด', 'ที่', 'สถานี', 'ชนบท', 'ที่', 'เงียบเหงา', 'แห่ง', 'หนึ่ง']"
22,23,เจ้าหนูจึงกระโดดลง มันกระโดดลงไปตามขั้นบันไดที่สถานีแล้วมายืนอยู่บนถนนนอกเมืองสายเล็กๆ ที่แสนเงียบเหงา,1,-1,-1,-1,-1,1,"['เจ้า', 'หนู', 'จึง', 'กระโดด', 'ลง', 'มัน', 'กระโดด', 'ลง', 'ไป', 'ตาม', 'ขั้นบันได', 'ที่', 'สถานี', 'แล้ว', 'มา', 'ยืน', 'อยู่', 'บน', 'ถน', 'xxrep', 'อกเมือง', 'สาย', 'เล็ก', 'ที่', 'แสน', 'เงียบเหงา']"
23,24,ผึ้งส่งเสียงหึ่งๆ เบาๆ ในอากาศ ท้องฟ้าเป็นสีฟ้าเข้มปราศจากเสียงใดๆ,1,0,0,0,0,1,"['ผึ้ง', 'ส่งเสียง', 'หึ่งๆ', 'เบา', 'ใน', 'อากาศ', 'ท้องฟ้า', 'เป็น', 'สี', 'ฟ้า', 'เข้ม', 'ปราศจาก', 'เสียง', 'ใดๆ']"
24,25,ไม่มีภาพผู้คนที่เร่งรีบหรือรถประจำทางเสียงดังให้ได้เห็นเลย,1,1,0,0,0,0,"['ไม่', 'มี', 'ภาพ', 'ผู้คน', 'ที่', 'เร่งรีบ', 'หรือ', 'รถประจำทาง', 'เสียงดัง', 'ให้ได้', 'เห็น', 'เลย']"
25,26,หนูน้อยดึงบัตรเชิญออกจากกระเป๋าเพื่อจะดูเส้นทางที่ญาติของมันส่งมาให้,1,0,0,0,0,1,"['หนู', 'น้อย', 'ดึง', 'บัตรเชิญ', 'ออกจาก', 'กระเป๋า', 'เพื่อ', 'จะ', 'ดู', 'เส้นทาง', 'ที่', 'ญาติ', 'ของ', 'มัน', 'ส่ง', 'มา', 'ให้']"
26,27,“จากสถานีให้ไปตามถนนสายเล็กๆ ลงเนิน แล้วเลี้ยวซ้ายไปทางทุ่งหญ้า”,1,0,0,0,0,1,"['จาก', 'สถานี', 'ให้', 'ไป', 'ตาม', 'ถนน', 'สาย', 'เล็ก', 'ลง', 'เนิน', 'แล้ว', 'เลี้ยวซ้าย', 'ไป', 'ทาง', 'ทุ่งหญ้า']"
27,28,มันอ่าน “ตรงไปเรื่อยๆ จนกว่าจะได้ยินเสียงแม่น้ำ ,1,0,0,0,0,1,"['มัน', 'อ่าน', 'ตรง', 'ไป', 'เรื่อยๆ', 'จนกว่า', 'จะ', 'ได้ยิน', 'เสียง', 'แม่น้ำ']"
28,29,แล้วค่อยเลี้ยวขวาที่เดซีดอกที่สาม แล้วเธอจะพบทางเข้าบ้านอยู่ใต้ดอกป๊อปปี้”,1,0,0,0,0,1,"['แล้ว', 'ค่อย', 'เลี้ยวขวา', 'ที่', 'เด', 'ซี', 'ดอก', 'ที่สาม', 'แล้ว', 'เธอ', 'จะ', 'พบ', 'ทางเข้า', 'บ้าน', 'อยู่', 'ใต้', 'ดอก', 'ป๊อป', 'ปี้']"
29,30,ไม่นานนัก หนูบ้านก็มาเคาะประตูไม้บานเล็กๆ ที่อยู่ในร่มเงาของดอกป๊อปปี้ที่กำลังไหวไปมา,1,0,0,0,0,1,"['ไม่', 'นาน', 'นัก', 'หนู', 'บ้าน', 'ก็', 'มา', 'เคาะ', 'ประตู', 'ไม้', 'บาน', 'เล็ก', 'ที่อยู่', 'ใน', 'ร่มเงา', 'ของ', 'ดอก', 'ป๊อป', 'ปี้', 'ที่', 'กำลัง', 'ไหว', 'ไปมา']"
30,31,ญาติของมันเปิดประตูออก ร้องจี๊ดๆ ด้วยความดีใจ “ดีใจจังที่ได้เจอเธอ!”,1,1,1,1,1,1,"['ญาติ', 'ของ', 'มัน', 'เปิด', 'ประตูออก', 'ร้อง', 'จี๊ด', 'ด้วย', 'ความดีใจ', 'ดีใจ', 'จัง', 'ที่', 'ได้', 'เจอ', 'เธอ', '!”']"
31,32,หนูนาร้อง “เข้ามาสิ!”,1,0,0,0,0,1,"['หนู', 'นา', 'ร้อง', 'เข้ามา', 'สิ', '!”']"
32,33,หนูบ้านก้มหัวลอดเข้าไปข้างใน เช่นเดียวกับบ้านหนูในชนบทหลังอื่นๆ,1,0,0,0,0,1,"['หนู', 'บ้าน', 'ก้มหัว', 'ลอด', 'เข้าไป', 'ข้างใน', 'เช่นเดียวกับ', 'บ้าน', 'หนู', 'ใน', 'ชนบท', 'หลัง', 'อื่นๆ']"
33,34,ในบ้านไม่มีอย่างอื่นนอกจากโพรงเล็กๆ โพรงหนึ่งในพื้นดิน และผนังว่างเปล่าและพื้นโคลน,1,-1,-1,0,0,0,"['ใน', 'บ้าน', 'ไม่', 'มี', 'อย่าง', 'อื่น', 'นอกจาก', 'โพรง', 'เล็ก', 'โพรง', 'หนึ่ง', 'ใน', 'พื้นดิน', 'และ', 'ผนัง', 'ว่างเปล่า', 'และ', 'พื้น', 'โคลน']"
34,35,แต่สำหรับหนูบ้านผู้คุ้นเคยกับบ้านหลังใหญ่โต ที่ผนังมีกระดาษปิดตกแต่งและพื้นบ้านที่เงาวับ ที่นี่ก็น่าผิดหวังมากทีเดียว,1,-1,-1,-1,-1,1,"['แต่', 'สำหรับ', 'หนู', 'บ้าน', 'ผู้', 'คุ้นเคย', 'กับ', 'บ้าน', 'หลัง', 'ใหญ่โต', 'ที่', 'ผนัง', 'มี', 'กระดาษ', 'ปิด', 'ตกแต่ง', 'และ', 'พื้นบ้าน', 'ที่', 'เงาวับ', 'ที่นี่', 'ก็', 'น่า', 'ผิดหวัง', 'มาก', 'ทีเดียว']"
35,36,แต่หนูบ้านไม่อยากเสียมารยาท มันจึงแค่พูดออกมาว่า “ทำไมเราไม่ออกไปกินข้างนอกกันล่ะ วันนี้อากาศดีมากเลยนะ!”,1,1,1,1,1,1,"['แต่', 'หนู', 'บ้าน', 'ไม่', 'อยาก', 'เสียมารยาท', 'มัน', 'จึง', 'แค่', 'พูด', 'ออกมา', 'ว่า', 'ทำไม', 'เรา', 'ไม่', 'ออก', 'ไป', 'กิน', 'ข้างนอก', 'กัน', 'ล่ะ', 'วันนี้', 'อากาศ', 'ดีมาก', 'เลย', 'นะ', '!”']"
36,37,“เป็นความคิดที่ดี” หนูนาพูด,1,1,1,1,1,1,"['เป็น', 'ความคิด', 'ที่', 'ดี', 'หนู', 'นา', 'พูด']"
37,38,แล้วมันก็วิ่งพรวดพราดไปที่ห้องเก็บของเพื่อจะเอาอาหารกลางวัน,1,0,0,0,0,1,"['แล้ว', 'มัน', 'ก็', 'วิ่ง', 'พรวดพราด', 'ไป', 'ที่', 'ห้องเก็บของ', 'เพื่อ', 'จะ', 'เอา', 'อาหารกลางวัน']"
38,39,ต่อมามันก็กระวีกระวาดออกมาข้างนอกหอบเมล็ดดอกทานตะวันมาเต็มอ้อมแขน,1,-1,0,0,0,0,"['ต่อมา', 'มัน', 'ก็', 'กระวีกระวาด', 'ออกมา', 'ข้างนอก', 'หอบ', 'เมล็ด', 'ดอกทานตะวัน', 'มา', 'เต็ม', 'อ้อมแขน']"
39,40,“ตามสบายเลยนะ” หนูนาพูด,1,1,1,1,1,1,"['ตามสบาย', 'เลย', 'นะ', 'หนู', 'นา', 'พูด']"
40,41,หนูบ้านแทะเมล็ดพืช “นี่ก็เป็นอาหารธรรมดาๆ” มันคิด,1,0,-1,0,0,0,"['หนู', 'บ้าน', 'แทะ', 'เมล็ด', 'พืช', 'นี่', 'ก็', 'เป็น', 'อาหาร', 'ธรรมดาๆ', 'มัน', 'คิด']"
41,42,“บางทีจานต่อไปอาจจะน่าตื่นเต้นกว่านี้ก็ได้”,1,1,1,1,1,1,"['บางที', 'จาน', 'ต่อไป', 'อาจจะ', 'น่าตื่นเต้น', 'กว่า', 'นี้', 'ก็ได้']"
42,43,หนูนาสังเกตเห็นว่าญาติของมันกินไปเพียงนิดเดียวจึงพูดขึ้น “นี่จ้ะ” แล้วก็ยื่นเมล็ดดอกทานตะวันให้หนูบ้านเพิ่มอีก “กินให้เต็มที่เลยนะ”,1,1,0,0,0,0,"['หนู', 'นา', 'สังเกตเห็น', 'ว่า', 'ญาติ', 'ของ', 'มัน', 'กิน', 'ไป', 'เพียง', 'นิดเดียว', 'จึง', 'พูด', 'ขึ้น', 'นี่', 'จ้ะ', 'แล้วก็', 'ยื่น', 'เมล็ด', 'ดอกทานตะวัน', 'ให้', 'หนู', 'บ้าน', 'เพิ่ม', 'อีก', 'กิน', 'ให้', 'เต็มที่', 'เลย', 'นะ']"
43,44,“ฉันไม่อยากอิ่มตั้งแต่อาหารเรียกน้ำย่อยน่ะ” หนูบ้านยิ้ม,1,1,-1,0,0,0,"['ฉัน', 'ไม่', 'อยาก', 'อิ่ม', 'ตั้งแต่', 'อาหาร', 'เรียก', 'น้ำย่อย', 'น่ะ', 'หนู', 'บ้าน', 'ยิ้ม']"
44,45,“ฉันอยากเก็บท้องไว้เผื่ออาหารหลัก”,1,0,0,0,0,1,"['ฉัน', 'อยาก', 'เก็บ', 'ท้อง', 'ไว้', 'เผื่อ', 'อาหาร', 'หลัก']"
45,46,“อาหารหลักงั้นหรือ” หนูนาพูดอย่างแปลกใจ,1,-1,0,1,1,0,"['อาหาร', 'หลัก', 'งั้น', 'หรือ', 'หนู', 'นา', 'พูด', 'อย่าง', 'แปลกใจ']"
46,47,“ทั้งหมดก็มีอยู่แค่นี้แหละจ้ะ”,1,0,0,1,1,0,"['ทั้งหมด', 'ก็', 'มี', 'อยู่', 'แค่', 'นี้แหละ', 'จ้ะ']"
47,48,หนูบ้านประหลาดใจ “แค่นี้เองหรือ” มันร้อง,1,-1,0,1,1,0,"['หนู', 'บ้าน', 'ประหลาดใจ', 'แค่นี้', 'เอง', 'หรือ', 'มัน', 'ร้อง']"
48,49,“แล้วปกติเธอกินอะไรล่ะ”,1,0,0,0,0,1,"['แล้ว', 'ปกติ', 'เธอ', 'กิน', 'อะไร', 'ล่ะ']"
49,50,“ก็กินเมล็ดพืชแบบนี้ไง” หนูนาตอบ,1,0,0,0,0,1,"['ก็', 'กิน', 'เมล็ด', 'พืช', 'แบบนี้', 'ไง', 'หนู', 'นา', 'ตอบ']"
50,51,“บางทีก็จะมีสตรอเบอรี่หนึ่งหรือสองลูก แต่ต้องเป็นหน้าของมันนะ...”,1,0,1,0,0,0,"['บางที', 'ก็', 'จะ', 'มี', 'สต', 'รอ', 'เบอ', 'รี่', 'หนึ่ง', 'หรือ', 'สอง', 'ลูก', 'แต่', 'ต้อง', 'เป็น', 'หน้า', 'ของ', 'มัน', 'นะ', 'xxrep']"
51,52,หนูนาหยุดพูดเมื่อเห็นสีหน้าตกใจของญาติ,1,-1,-1,-1,-1,1,"['หนู', 'นา', 'หยุด', 'พูด', 'เมื่อ', 'เห็น', 'สีหน้า', 'ตกใจ', 'ของ', 'ญาติ']"
52,53,“ไม่มีพายหรือ” หนูบ้านถาม “ไม่มีแซนด์วิช หรือมัฟฟิน หรือชีสบ้างหรือ”,1,-1,-1,0,0,0,"['ไม่', 'มี', 'พาย', 'หรือ', 'หนู', 'บ้าน', 'ถาม', 'ไม่', 'มี', 'แซนด์วิช', 'หรือ', 'มัฟฟิน', 'หรือ', 'ชีส', 'บ้าง', 'หรือ']"
53,54,หนูนาส่ายหัว,1,-1,0,0,0,0,"['หนู', 'นา', 'ส่าย', 'หัว']"
54,55,“แล้วเค้กช็อกโกแลต ทาร์ตแยม หรือว่าไอศกรีมล่ะ”,1,0,1,0,0,0,"['แล้ว', 'เค้ก', 'ช็อกโกแลต', 'ทาร์ต', 'แยม', 'หรือว่า', 'ไอศกรีม', 'ล่ะ']"
55,56,“ฉันยังไม่เคยชิมด้วยซ้ำ” หนูนาตอบ,1,-1,0,0,0,0,"['ฉัน', 'ยัง', 'ไม่', 'เคย', 'ชิม', 'ด้วยซ้ำ', 'หนู', 'นา', 'ตอบ']"
56,57,“โถ ญาติที่รักของฉัน” หนูบ้านพูด,1,-1,1,1,1,0,"['โถ', 'ญาติ', 'ที่รัก', 'ของ', 'ฉัน', 'หนู', 'บ้าน', 'พูด']"
57,58,“ชีวิตเธอยังไม่คุ้มค่า ถ้ายังไม่เคยได้ลองไอศกรีม”,1,-1,0,0,0,0,"['ชีวิต', 'เธอ', 'ยัง', 'ไม่', 'คุ้มค่า', 'ถ้า', 'ยัง', 'ไม่', 'เคย', 'ได้', 'ลอง', 'ไอศกรีม']"
58,59,หนูบ้านลุกขึ้นยืน แล้วดึงหนูนาให้ลุกตาม,1,0,0,0,0,1,"['หนู', 'บ้าน', 'ลุกขึ้น', 'ยืน', 'แล้ว', 'ดึง', 'หนู', 'นา', 'ให้', 'ลุก', 'ตาม']"
59,60,“เราจะต้องออกจากที่นี่เดี๋ยวนี้” มันพูดอย่างหนักแน่น,1,1,0,1,1,0,"['เรา', 'จะ', 'ต้อง', 'ออกจาก', 'ที่นี่', 'เดี๋ยวนี้', 'มัน', 'พูด', 'อย่าง', 'หนักแน่น']"
60,61,“เธอไปกินข้าวเย็นที่บ้านฉันเถอะ”,1,0,0,0,0,1,"['เธอ', 'ไป', 'กิน', 'ข้าวเย็น', 'ที่', 'บ้าน', 'ฉัน', 'เถอะ']"
61,62,“แต่ว่าฉันยังไม่เคยออกนอกเขตทุ่งนามาก่อนนี่”,1,-1,0,0,0,0,"['แต่ว่า', 'ฉัน', 'ยัง', 'ไม่', 'เคย', 'ออก', 'นอก', 'เขต', 'ทุ่งนา', 'มา', 'ก่อน', 'นี่']"
62,63,หนูนาร้องเมื่อพวกมันวิ่งไปที่สถานี,1,-1,0,0,0,0,"['หนู', 'นา', 'ร้อง', 'เมื่อ', 'พวก', 'มัน', 'วิ่ง', 'ไป', 'ที่', 'สถานี']"
63,64,“งั้นก็ได้เวลาที่เธอจะต้องออกจากทุ่งนาแล้วละ” หนูบ้านตอบ,1,0,0,0,0,1,"['งั้น', 'ก็', 'ได้เวลา', 'ที่', 'เธอ', 'จะ', 'ต้อง', 'ออกจาก', 'ทุ่งนา', 'แล้ว', 'ละ', 'หนู', 'บ้าน', 'ตอบ']"
64,65,พวกมันกระโดดขึ้นรถไฟ แล้วปีนป่ายขึ้นไปยังที่นั่งข้างหน้าต่าง,1,0,0,0,0,1,"['พวก', 'มัน', 'กระโดด', 'ขึ้น', 'รถไฟ', 'แล้ว', 'ปีนป่าย', 'ขึ้นไป', 'ยัง', 'ที่นั่ง', 'ข้าง', 'หน้าต่าง']"
65,66,เมื่อรถไฟค่อยๆ เคลื่อนตัวผ่านชนบท หนูนามองออกไปนอกหน้าต่างอย่างตื่นเต้น,1,1,1,1,1,1,"['เมื่อ', 'รถไฟ', 'ค่อยๆ', 'เคลื่อนตัว', 'ผ่าน', 'ชนบท', 'หนู', 'นา', 'มองออก', 'ไปนอก', 'หน้าต่าง', 'อย่าง', 'ตื่นเต้น']"
66,67,จมูกของมันแนบกระจก ภาพทุ่งนาเปลี่ยนเป็นบ้านคนและถนน รถประจำทางและรถยนต์,1,0,0,0,0,1,"['จมูก', 'ของ', 'มัน', 'แนบ', 'กระจก', 'ภาพ', 'ทุ่งนา', 'เปลี่ยนเป็น', 'บ้าน', 'คน', 'และ', 'ถนน', 'รถประจำทาง', 'และ', 'รถยนต์']"
67,68,ต่อมาไม่นานนักพวกมันก็มาถึงเมืองอันแสนวุ่นวาย,1,-1,0,-1,-1,0,"['ต่อมา', 'ไม่', 'นาน', 'นัก', 'พวก', 'มัน', 'ก็', 'มาถึง', 'เมือง', 'อัน', 'แสน', 'วุ่นวาย']"
68,69,เมื่อหนูทั้งสองก้าวออกจากสถานี หนูนาก็อ้าปากกว้าง,1,1,0,0,0,0,"['เมื่อ', 'หนู', 'ทั้งสอง', 'ก้าว', 'ออกจาก', 'สถานี', 'หนู', 'นา', 'ก็', 'อ้า', 'ปากกว้าง']"
69,70,ตัวมันสั่นด้วยความกลัวเมื่อเห็นรถวิ่งอย่างรวดเร็วผ่านหน้ามัน,1,-1,-1,-1,-1,1,"['ตัว', 'มัน', 'สั่น', 'ด้วย', 'ความกลัว', 'เมื่อ', 'เห็น', 'รถ', 'วิ่ง', 'อย่าง', 'รวดเร็ว', 'ผ่านหน้า', 'มัน']"
70,71,และตัวสั่นมากขึ้นเมื่อรถประจำทางขนาดยักษ์จอดเสียงเอี๊ยดข้างพวกมัน,1,-1,-1,-1,-1,1,"['และ', 'ตัวสั่น', 'มากขึ้น', 'เมื่อ', 'รถประจำทาง', 'ขนาด', 'ยักษ์', 'จอด', 'เสียง', 'เอี๊ยด', 'ข้าง', 'พวก', 'มัน']"
71,72,แต่ดูเหมือนหนูบ้านแทบจะไม่ได้สังเกตเห็นด้วยซ้ำ “เร็วเข้า” มันพูด แล้วมุดหายเข้าไปกับการจราจรอันแสนวุ่นวาย,1,-1,0,-1,-1,0,"['แต่', 'ดูเหมือน', 'หนู', 'บ้าน', 'แทบจะ', 'ไม่', 'ได้', 'สังเกตเห็น', 'ด้วยซ้ำ', 'เร็ว', 'เข้า', 'มัน', 'พูด', 'แล้ว', 'มุด', 'หาย', 'เข้าไป', 'กับ', 'การจราจร', 'อัน', 'แสน', 'วุ่นวาย']"
72,73,กว่าพวกมันจะมาถึงบ้านที่หนูบ้านอาศัย หนูนาก็เกือบจะถูกเหยียบ เฉียดถูกรถทับ และเหน็ดเหนื่อยเป็นที่สุด,1,-1,-1,-1,-1,1,"['กว่า', 'พวก', 'มัน', 'จะ', 'มาถึง', 'บ้าน', 'ที่', 'หนู', 'บ้าน', 'อาศัย', 'หนู', 'นา', 'ก็', 'เกือบจะ', 'ถูก', 'เหยียบ', 'เฉียด', 'ถูก', 'รถ', 'ทับ', 'และ', 'เหน็ดเหนื่อย', 'เป็น', 'ที่สุด']"
73,74,“ยินดีต้อนรับสู่บ้านอันต่ำต้อยของฉัน” หนูบ้านพูด,1,-1,1,1,1,0,"['ยินดีต้อนรับ', 'สู่', 'บ้าน', 'อัน', 'ต่ำต้อย', 'ของ', 'ฉัน', 'หนู', 'บ้าน', 'พูด']"
74,75,แล้วหนูทั้งสองก็ลอดตัวผ่านประตูหน้าเข้าไป,1,0,0,0,0,1,"['แล้ว', 'หนู', 'ทั้งสอง', 'ก็', 'ลอด', 'ตัว', 'ผ่าน', 'ประตู', 'หน้า', 'เข้าไป']"
75,76,หนูนาร้องอุทาน เมื่อเห็นกระเบื้องเป็นมันเงาอยู่ทั่วไปหมด ผนังห้องมีดอกไม้งดงามแปลกตาคลุมอยู่ และบนเพดานมีโคมระย้าทำจากแก้วเจียระไนส่องแสงเหมือนดวงอาทิตย์ห้อยอยู่,1,1,1,1,1,1,"['หนู', 'นา', 'ร้อง', 'อุทาน', 'เมื่อ', 'เห็น', 'กระเบื้อง', 'เป็น', 'มันเงา', 'อยู่', 'ทั่วไป', 'หมด', 'ผนังห้อง', 'มี', 'ดอกไม้', 'งดงาม', 'แปลกตา', 'คลุม', 'อยู่', 'และ', 'บน', 'เพดาน', 'มี', 'โคมระย้า', 'ทำ', 'จาก', 'แก้ว', 'เจียระไน', 'ส่องแสง', 'เหมือน', 'ดวงอาทิตย์', 'ห้อย', 'อยู่']"
76,77,“เธอหิวหรือยัง” หนูบ้านถาม,1,0,0,0,0,1,"['เธอ', 'หิว', 'หรือยัง', 'หนู', 'บ้าน', 'ถาม']"
77,78,“หิวตาลายเลยละ” หนูนาตอบ,1,-1,-1,0,0,0,"['หิว', 'ตาลาย', 'เลย', 'ละ', 'หนู', 'นา', 'ตอบ']"
78,79,“งั้นพวกเรารออะไรกันอยู่ล่ะ” หนูบ้านหัวเราะ,1,1,0,1,1,0,"['งั้น', 'พวกเรา', 'รอ', 'อะไร', 'กัน', 'อยู่', 'ล่ะ', 'หนู', 'บ้าน', 'หัวเราะ']"
